Fecha,Comprobante,Depósito,Retiro,Saldo
18/02/2022,,120,,120.00
25/02/2022,,50,,170.00
24/03/2022,,100,,270.00
24/05/2022,,100,,370.00
24/05/2022,,380,,750.00
20/06/2022,,100,,850.00
20/06/2022,,100,,950.00
22/06/2022,,100,,"1,050.00"
22/06/2022,2022-32518,100,,"1,150.00"
15/07/2022,2022-37040,160,,"1,310.00"
22/07/2022,2022-38038,90,,"1,400.00"
22/08/2022,2022-43162,110,,"1,510.00"
22/08/2022,2022-43184,90,,"1,600.00"
20/09/2022,2022-48121,110,,"1,710.00"
20/09/2022,2022-48252,90,,"1,800.00"
20/10/2022,2022-54309,90,,"1,890.00"
20/10/2022,2022-54352,110,,"2,000.00"
17/11/2022,2022-59008,400,,"2,400.00"
20/12/2022,2022-65938,600,,"3,000.00"
31/12/2022,CAP-FSR-2022,71.75,,"3,071.75"
25/01/2023,,650,,"3,721.75"
22/02/2023,,250,,"3,971.75"
22/02/2023,,100,,"4,071.75"
20/03/2023,,150,,"4,221.75"
20/03/2023,,150,,"4,371.75"
18/04/2023,,110,,"4,481.75"
20/05/2023,,90,,"4,571.75"
27/05/2023,,150,,"4,721.75"
20/06/2023,,90,,"4,811.75"
20/06/2023,,160,,"4,971.75"
17/07/2023,,90,,"5,061.75"
29/07/2023,,110,,"5,171.75"
21/08/2023,,210,,"5,381.75"
21/08/2023,,90,,"5,471.75"
16/10/2023,,125,,"5,596.75"
16/10/2023,,175,,"5,771.75"
24/11/2023,,210,,"5,981.75"
24/11/2023,,90,,"6,071.75"
31/12/2023,,316.19,,"6,387.94"
13/02/2024,,700,,"7,087.94"
27/02/2024,,150,,"7,237.94"
21/03/2024,,350,,"7,587.94"
29/04/2024,,300,,"7,887.94"
29/04/2024,,200,,"8,087.94"
28/05/2024,,120,,"8,207.94"
28/05/2024,,130,,"8,337.94"
30/05/2024,2024-28718,50,,"8,387.94"
27/06/2024,2024-32852,250,,"8,637.94"
26/07/2024,2024-3125,125,,"8,762.94"
26/07/2024,2024-33895,125,,"8,887.94"
26/08/2024,2024-6511,170,,"9,057.94"
26/08/2024,2024-34959,130,,"9,187.94"
28/09/2024,2024-48451,75,,"9,262.94"
28/09/2024,2024-36192,125,,"9,387.94"
31/12/2024,CAP-FSR-2024,530.53,,"9,918.47"
