Fecha,Edad,Cotiza,AporteUES,Observac,,
28/06/1994,22,2.45,3.68,,,
28/07/1994,22,2.79,4.19,,,
28/08/1994,22,2.79,4.19,,,
28/09/1994,22,2.79,4.19,,,
28/10/1994,22,2.79,4.19,,,
28/11/1994,22,2.79,4.19,,,
28/12/1994,22,2.79,4.19,,,
28/01/1995,23,2.79,4.19,,,\
28/02/1995,23,2.79,4.19,,,
28/03/1995,23,2.79,4.19,,,
28/04/1995,23,2.79,4.19,,,
28/05/1995,23,2.79,4.19,,,
28/06/1995,23,2.79,4.19,,,
28/07/1995,23,3.02,4.53,,,
28/08/1995,23,3.18,4.77,,,
28/09/1995,23,3.18,4.77,,,
28/10/1995,23,3.18,4.77,,,
28/11/1995,23,3.18,4.77,,,
28/12/1995,23,3.18,4.77,,,
28/01/1996,24,0.49,,Complemento Noviembre y Diciembre/1995,,
28/01/1996,24,3.43,5.15,,,
28/02/1996,24,3.43,5.15,,,
28/03/1996,24,3.43,5.15,,,
28/04/1996,24,3.43,5.15,,,
28/05/1996,24,3.43,5.15,,,
28/06/1996,24,3.43,5.15,,,
28/07/1996,24,3.43,5.15,,,
28/08/1996,24,3.43,5.15,,,
28/09/1996,24,3.43,5.15,,,
28/10/1996,24,3.43,5.15,,,
28/11/1996,24,7.09,10.64,,,
28/12/1996,24,4.34,6.51,,,
28/01/1997,25,4.34,6.51,,,
28/02/1997,25,4.34,6.51,,,
28/03/1997,25,4.34,6.51,,,
28/04/1997,25,5.03,7.55,,,
28/05/1997,25,5.03,7.55,,,
28/06/1997,25,5.03,7.55,Faltaba este mes. Junio 1997,,
28/07/1997,25,5.03,7.55,,,
28/08/1997,25,5.03,7.55,,,
28/09/1997,25,5.03,7.55,,,
28/10/1997,25,5.03,7.55,,,
28/11/1997,25,5.03,7.55,,,
28/12/1997,25,4.34,6.51,,,
28/01/1998,26,4.34,6.51,,,
28/02/1998,26,4.60,6.90,,,
28/02/1998,26,0.26,,Complemento Enero/1998,,
28/03/1998,26,4.60,6.90,,,
28/04/1998,26,4.60,6.90,,,
28/05/1998,26,5.81,8.72,,,
28/06/1998,26,5.81,8.72,,,
28/07/1998,26,5.81,8.72,,,
28/08/1998,26,5.81,8.72,,,
28/09/1998,26,5.81,8.72,,,
28/10/1998,26,5.81,8.72,,,
28/11/1998,26,5.81,8.72,,,
28/12/1998,26,6.53,9.80,,,
28/01/1999,27,6.53,9.80,,,
28/02/1999,27,6.53,9.80,,,
28/03/1999,27,6.53,9.80,,,
28/04/1999,27,6.53,9.80,,,
28/05/1999,27,6.53,9.80,,,
28/06/1999,27,6.53,9.80,,,
28/07/1999,27,6.53,9.80,,,
28/08/1999,27,0.51,0.77,,,
28/08/1999,27,6.53,9.80,,,
28/09/1999,27,6.53,9.80,,,
28/09/1999,27,0.69,,Complemento septiembre/1999,,
28/10/1999,27,7.22,10.83,,,
28/11/1999,27,6.53,9.80,,,
28/12/1999,27,7.09,10.64,,,
28/01/2000,28,7.22,10.83,,,
28/02/2000,28,7.22,10.83,,,
28/03/2000,28,7.22,10.83,,,
28/04/2000,28,7.22,10.83,,,
28/05/2000,28,7.22,10.83,,,
28/06/2000,28,7.22,10.83,,,
28/07/2000,28,7.22,10.83,,,
28/08/2000,28,7.22,10.83,,,
28/09/2000,28,6.53,9.80,,,
28/10/2000,28,6.53,9.80,,,
28/11/2000,28,6.53,9.80,,,
28/12/2000,28,6.53,9.80,,,
28/01/2001,29,6.53,9.80,,,
28/02/2001,29,0.69,1.04,,,
28/02/2001,29,6.54,9.81,,,
28/03/2001,29,0.69,1.04,,,
28/03/2001,29,6.54,9.81,,,
28/04/2001,29,0.69,1.04,,,
28/04/2001,29,6.54,9.81,,,
28/05/2001,29,0.69,1.04,,,
28/05/2001,29,6.54,9.81,,,
28/06/2001,29,0.69,1.04,,,
28/06/2001,29,6.54,9.81,,,
28/07/2001,29,0.69,1.04,,,
28/07/2001,29,6.54,9.81,,,
28/08/2001,29,0.69,1.04,,,
28/08/2001,29,6.54,9.81,,,
28/09/2001,29,0.69,1.04,,,
28/09/2001,29,6.54,9.81,,,
28/10/2001,29,0.69,1.04,,,
28/10/2001,29,6.54,9.81,,,
28/11/2001,29,0.69,1.04,,,
28/11/2001,29,6.54,9.81,,,
28/12/2001,29,0.69,1.04,,,
28/12/2001,29,6.54,9.81,,,
28/01/2002,30,0.69,1.04,,,
28/01/2002,30,6.54,9.81,,,
28/02/2002,30,0.69,1.04,,,
28/02/2002,30,6.54,9.81,,,
28/03/2002,30,0.69,1.04,,,
28/03/2002,30,6.54,9.81,,,
28/04/2002,30,0.69,1.04,,,
28/04/2002,30,6.54,9.81,,,
28/05/2002,30,0.69,1.04,,,
28/05/2002,30,6.54,9.81,,,
28/06/2002,30,0.69,1.04,,,
28/06/2002,30,6.54,9.81,,,
28/07/2002,30,0.69,1.04,,,
28/07/2002,30,6.54,9.81,,,
28/08/2002,30,0.69,1.04,,,
28/08/2002,30,6.54,9.81,,,
28/09/2002,30,0.69,1.04,,,
28/09/2002,30,6.54,9.81,,,
28/10/2002,30,0.69,1.04,,,
28/10/2002,30,6.54,9.81,,,
28/11/2002,30,0.69,1.04,,,
28/11/2002,30,6.54,9.81,,,
28/12/2002,30,0.69,1.04,,,
28/12/2002,30,6.54,9.81,,,
28/01/2003,31,0.69,1.04,,,
28/01/2003,31,6.54,9.81,,,
28/02/2003,31,0.69,1.04,,,
28/02/2003,31,6.54,9.81,,,
28/03/2003,31,0.69,1.04,,,
28/03/2003,31,6.54,9.81,,,
28/04/2003,31,0.69,1.04,,,
28/04/2003,31,6.54,9.81,,,
28/05/2003,31,0.69,1.04,,,
28/05/2003,31,6.54,9.81,,,
28/06/2003,31,0.69,1.04,,,
28/06/2003,31,6.54,9.81,,,
28/07/2003,31,0.69,1.04,,,
28/07/2003,31,6.54,9.81,,,
28/08/2003,31,0.69,1.04,,,
28/08/2003,31,6.54,9.81,,,
28/09/2003,31,0.69,1.04,,,
28/09/2003,31,6.54,9.81,,,
28/10/2003,31,0.07,0.11,,,
28/10/2003,31,0.62,0.93,,,
28/10/2003,31,6.54,9.81,,,
28/11/2003,31,0.32,0.48,,,
28/11/2003,31,0.37,0.56,,,
28/11/2003,31,6.54,9.81,,,
28/12/2003,31,0.69,1.04,,,
28/12/2003,31,6.54,9.81,,,
28/01/2004,32,0.69,1.04,,,
28/01/2004,32,6.54,9.81,,,
28/02/2004,32,0.69,1.04,,,
28/02/2004,32,6.54,9.81,,,
28/03/2004,32,0.69,1.04,,,
28/03/2004,32,6.54,9.81,,,
28/04/2004,32,0.69,1.04,,,
28/04/2004,32,6.54,9.81,,,
28/05/2004,32,0.69,1.04,,,
28/05/2004,32,6.54,9.81,,,
28/06/2004,32,0.69,1.04,,,
28/06/2004,32,6.54,9.81,,,
28/07/2004,32,0.69,1.04,,,
28/07/2004,32,0.82,1.23,,,
28/07/2004,32,6.54,9.81,,,
28/08/2004,32,8.04,12.06,,,
28/09/2004,32,8.04,12.06,,,
28/09/2007,35,12.00,18.00,,,
28/10/2007,35,12.00,18.00,,,
28/11/2007,35,12.00,18.00,,,
28/12/2007,35,12.00,18.00,,,
28/01/2008,36,1.65,2.48,,,
28/01/2008,36,12.00,18.00,,,
28/02/2008,36,1.65,2.48,,,
28/02/2008,36,12.00,18.00,,,
28/03/2008,36,1.65,2.48,,,
28/03/2008,36,12.00,18.00,,,
28/04/2008,36,1.65,2.48,,,
